Seed Type,Location,Temperature Range,Soil Type,Budget Range
Pulses,Tamil Nadu,25°C - 35°C,Clayey soil,800
Sugarcane,Madhya Pradesh,25°C - 35°C,Sandy soil,400
Sorghum,Maharashtra,25°C - 35°C,Sandy soil,400
Rice,Rajasthan,25°C - 35°C,Loamy soil,1000
Sugarcane,Uttar Pradesh,15°C - 25°C,Clayey soil,800
Maize,Punjab,20°C - 35°C,Sandy soil,1100
Wheat,Maharashtra,20°C - 35°C,Clayey soil,700
Sorghum,Uttar Pradesh,25°C - 35°C,Loamy soil,500
Sugarcane,Madhya Pradesh,20°C - 30°C,Sandy soil,1100
Maize,Andhra Pradesh,20°C - 30°C,Sandy loam soil,1100
Maize,Punjab,10°C - 25°C,Loamy soil,800
Barley,Rajasthan,10°C - 25°C,Clayey soil,400
Groundnut,Rajasthan,20°C - 35°C,Sandy soil,600
Sorghum,Maharashtra,15°C - 25°C,Clayey soil,400
Rice,Gujarat,20°C - 35°C,Sandy loam soil,900
Barley,Gujarat,20°C - 35°C,Sandy soil,800
Pulses,Rajasthan,25°C - 35°C,Sandy soil,1000
Wheat,Telangana,20°C - 35°C,Sandy loam soil,600
Cotton,Rajasthan,20°C - 30°C,Loamy soil,1100
Sorghum,Punjab,20°C - 35°C,Clayey soil,1000
Barley,Rajasthan,20°C - 30°C,Loamy soil,1100
Barley,Tamil Nadu,20°C - 35°C,Clayey soil,1000
Sugarcane,Maharashtra,20°C - 35°C,Clayey soil,1200
Rice,Rajasthan,20°C - 35°C,Sandy loam soil,3000
Maize,Madhya Pradesh,15°C - 25°C,Loamy soil,800
Pulses,Rajasthan,20°C - 30°C,Sandy soil,1100
Sugarcane,Rajasthan,25°C - 35°C,Clayey soil,400
Pulses,Tamil Nadu,15°C - 25°C,Loamy soil,1200
Soybean,Gujarat,20°C - 35°C,Sandy loam soil,1200
Sorghum,Andhra Pradesh,20°C - 30°C,Sandy loam soil,600
Sugarcane,Rajasthan,20°C - 35°C,Sandy soil,600
Barley,Gujarat,20°C - 35°C,Loamy soil,1100
Pulses,Rajasthan,20°C - 35°C,Sandy loam soil,900
Pulses,Tamil Nadu,25°C - 35°C,Clayey soil,500
Cotton,Punjab,10°C - 25°C,Sandy loam soil,3000
Pulses,Maharashtra,10°C - 25°C,Clayey soil,1200
Soybean,West Bengal,15°C - 25°C,Clayey soil,600
Groundnut,Punjab,20°C - 30°C,Clayey soil,900
Wheat,Tamil Nadu,25°C - 35°C,Sandy loam soil,1000
Groundnut,Uttar Pradesh,15°C - 25°C,Loamy soil,3000
Barley,West Bengal,20°C - 30°C,Sandy soil,400
Sorghum,Punjab,15°C - 25°C,Clayey soil,700
Groundnut,Tamil Nadu,25°C - 35°C,Sandy soil,400
Rice,Andhra Pradesh,20°C - 35°C,Loamy soil,600
Barley,Andhra Pradesh,10°C - 25°C,Sandy loam soil,700
Pulses,Andhra Pradesh,15°C - 25°C,Clayey soil,900
Soybean,Uttar Pradesh,20°C - 30°C,Loamy soil,400
Barley,Punjab,15°C - 25°C,Clayey soil,600
Soybean,Gujarat,15°C - 25°C,Clayey soil,900
Cotton,Madhya Pradesh,20°C - 35°C,Clayey soil,400
Soybean,Telangana,15°C - 25°C,Loamy soil,1000
Pulses,Gujarat,15°C - 25°C,Sandy soil,1100
Groundnut,Uttar Pradesh,25°C - 35°C,Sandy loam soil,500
Sorghum,Tamil Nadu,10°C - 25°C,Loamy soil,600
Maize,West Bengal,15°C - 25°C,Loamy soil,3000
Maize,Gujarat,20°C - 35°C,Clayey soil,1100
Sugarcane,Telangana,15°C - 25°C,Loamy soil,3000
Barley,West Bengal,20°C - 30°C,Loamy soil,600
Sorghum,Gujarat,20°C - 30°C,Clayey soil,900
Rice,Uttar Pradesh,25°C - 35°C,Loamy soil,1000
Sorghum,Tamil Nadu,20°C - 30°C,Clayey soil,800
Soybean,Gujarat,25°C - 35°C,Sandy soil,800
Sorghum,Rajasthan,20°C - 35°C,Sandy soil,500
Rice,Punjab,20°C - 30°C,Clayey soil,600
Maize,West Bengal,20°C - 30°C,Sandy soil,800
Rice,Madhya Pradesh,15°C - 25°C,Sandy soil,1000
